Louisville, KY|40201,40202,40203,40204,40205,40206,40207,40208,40209,40210,40211,40212,40213,40214,40215,40216,40217,40218,40219,40220,40221,40222,40223,40224,40225,40228,40229,40231,40232,40233,40241,40242,40243,40245,40250,40251,40252,40253,40255,40256,40257,40258,40259,40261,40266,40268,40269,40270,40272,40280,40281,40282,40283,40285,40287,40289,40290,40291,40292,40293,40294,40295,40296,40297,40298,40299
Memphis, TN|37501,37544,38101,38103,38104,38105,38106,38107,38108,38109,38111,38112,38113,38114,38115,38116,38117,38118,38119,38120,38122,38124,38125,38126,38127,38128,38130,38131,38132,38133,38134,38135,38136,38137,38138,38139,38141,38145,38147,38148,38150,38151,38152,38157,38159,38161,38163,38166,38167,38168,38173,38174,38175,38177,38181,38182,38183,38184,38186,38187,38188,38190,38193,38194,38197
Mesa, AZ|85201,85202,85203,85204,85205,85206,85207,85208,85209,85210,85211,85212,85213,85214,85215,85216,85274,85275,85277
Miami, FL|33010,33011,33012,33013,33014,33015,33016,33017,33018,33054,33055,33101,33102,33106,33109,33111,33112,33114,33116,33119,33122,33124,33125,33126,33127,33128,33129,33130,33131,33132,33133,33134,33135,33136,33137,33138,33139,33140,33141,33142,33143,33144,33145,33146,33147,33149,33150,33151,33152,33153,33154,33155,33156,33157,33158,33159,33160,33161,33162,33163,33164,33165,33166,33167,33168,33169,33170,33172,33173,33174,33175,33176,33177,33178,33179,33180,33181,33182,33183,33184,33185,33186,33187,33188,33189,33190,33193,33194,33196,33197,33199,33206,33222,33231,33233,33234,33238,33239,33242,33243,33245,33247,33255,33256,33257,33261,33265,33266,33269,33280,33283,33296,33299
Milwaukee, WI|53201,53202,53203,53204,53205,53206,53207,53208,53209,53210,53211,53212,53213,53214,53215,53216,53217,53218,53219,53220,53221,53222,53223,53224,53225,53226,53227,53228,53233,53234,53235,53237,53259,53263,53267,53268,53274,53278,53288,53290,53293,53295
Minneapolis, MN|55401,55402,55403,55404,55405,55406,55407,55408,55409,55410,55411,55412,55413,55414,55415,55416,55417,55418,55419,55420,55421,55422,55423,55424,55425,55426,55427,55428,55429,55430,55431,55432,55433,55434,55435,55436,55437,55438,55439,55440,55441,55442,55443,55444,55445,55446,55447,55448,55449,55450,55454,55455,55458,55459,55460,55467,55470,55472,55473,55474,55478,55479,55480,55483,55484,55485,55486,55487,55488
Nashville, TN|37201,37202,37203,37204,37205,37206,37207,37208,37209,37210,37211,37212,37213,37214,37215,37216,37217,37218,37219,37220,37221,37222,37224,37227,37228,37229,37230,37232,37234,37235,37236,37238,37240,37241,37242,37243,37244,37246,37250
New Orleans, LA|70112,70113,70114,70115,70116,70117,70118,70119,70121,70122,70123,70124,70125,70126,70127,70128,70129,70130,70131,70139,70141,70142,70143,70145,70146,70148,70150,70151,70152,70153,70154,70156,70157,70158,70159,70160,70161,70162,70163,70164,70165,70166,70167,70170,70172,70174,70175,70176,70177,70178,70179,70181,70182,70183,70184,70185,70186,70187,70189,70190,70195
New York, NY|10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030,10031,10032,10033,10034,10035,10036,10037,10038,10039,10040,10041,10043,10044,10045,10055,10060,10065,10069,10075,10080,10081,10087,10090,10095,10101,10102,10103,10104,10105,10106,10107,10108,10109,10110,10111,10112,10113,10114,10115,10116,10117,10118,10119,10120,10121,10122,10123,10124,10125,10126,10128,10129,10130,10131,10132,10133,10138,10150,10151,10152,10153,10154,10155,10156,10157,10158,10159,10160,10161,10162,10163,10164,10165,10166,10167,10168,10169,10170,10171,10172,10173,10174,10175,10176,10177,10178,10179,10185,10199,10203,10211,10212,10213,10242,10249,10256,10257,10258,10259,10260,10261,10265,10268,10269,10270,10271,10272,10273,10274,10275,10276,10277,10278,10279,10280,10281,10282,10285,10286,10292
Oakland, CA|94601,94602,94603,94604,94605,94606,94607,94608,94609,94610,94611,94612,94613,94614,94615,94617,94618,94619,94620,94621,94622,94623,94624,94649,94659,94660,94661,94662,94666
